name = Mira_B - TrapezoidDisk

# date  RA  RA_error  Dec Dec_error
2017.721  34d50m12.3947471296759204s  0d00m00.0000012311379284s  -2d58m43.7939702182234214s  0d00m00.0000143978853280s
2017.724  34d50m12.3976419045021657s  0d00m00.0000031314666147s  -2d58m43.7946761746239588s  0d00m00.0000366218067565s
2017.855  34d50m12.3947047707787306s  0d00m00.0000105864712432s  -2d58m43.8397119075025898s  0d00m00.0001238059077611s
2019.464  34d50m12.4753296654432688s  0d00m00.0000000000000000s  -2d58m45.1034552822157764s  0d00m00.0000000000000000s
2021.716  34d50m12.4666281346321739s  0d00m00.0000000000000000s  -2d58m45.5757011040310545s  0d00m00.0000000000000000s
2021.718  34d50m12.4616854267571853s  0d00m00.0000000000000000s  -2d58m45.5198530423345460s  0d00m00.0000000000000000s
2021.721  34d50m12.3971426637638160s  0d00m00.0000068647562600s  -2d58m44.7320578025717452s  0d00m00.0000802747829718s
2021.727  34d50m12.3938711505275023s  0d00m00.0000019440494712s  -2d58m44.7330130845163865s  0d00m00.0000227332370589s
2023.530  34d50m12.4674972078679502s  0d00m00.0000000000000000s  -2d58m45.9776062820714060s  0d00m00.0000000000000000s
2023.533  34d50m12.3965421675478638s  0d00m00.0000191666364216s  -2d58m45.1477285852043053s  0d00m00.0002241212772132s
2023.552  34d50m12.4618137422913833s  0d00m00.0000000000000000s  -2d58m45.9458121737094416s  0d00m00.0000000000000000s
2023.626  34d50m12.4689057158406058s  0d00m00.0000000000000000s  -2d58m46.0085999248566679s  0d00m00.0000000000000000s
2025.606  34d50m12.4686707437604127s  0d00m00.0000000000000000s  -2d58m46.4863930705108430s  0d00m00.0000000000000000s
