name = Mira_Calib - TrapezoidDisk

# date  RA  RA_error  Dec Dec_error
2017.721  34d50m11.9505662909034527s  0d00m00.0000011628275592s  -2d58m43.7509169665507613s  0d00m00.0000135990171208s
2017.724  34d50m11.9505591275839151s  0d00m00.0000016364681420s  -2d58m43.7528383933670284s  0d00m00.0000191381380251s
2017.855  34d50m11.9498075974178164s  0d00m00.0000035698109699s  -2d58m43.7942930214795467s  0d00m00.0000417479989681s
2019.464  34d50m12.1372268135644390s  0d00m00.0000000000000000s  -2d58m46.1647435622074909s  0d00m00.0000000000000000s
2021.716  34d50m12.0447433136661175s  0d00m00.0000000000000000s  -2d58m45.5392238488067846s  0d00m00.0000000000000000s
2021.718  34d50m12.0452746232416530s  0d00m00.0000000000000000s  -2d58m45.5473876849453063s  0d00m00.0000000000000000s
2021.721  34d50m12.0434499504511905s  0d00m00.0000000000000000s  -2d58m45.4930034354046597s  0d00m00.0000000000000000s
2021.727  34d50m12.0464996336579588s  0d00m00.0000000000000000s  -2d58m45.5327272202950439s  0d00m00.0000000000000000s
2023.484  34d50m12.0666527216883424s  0d00m00.0000000000000000s  -2d58m46.0465692133345783s  0d00m00.0000000000000000s
2023.495  34d50m12.0652462215559808s  0d00m00.0000000000000000s  -2d58m46.0273432429845286s  0d00m00.0000000000000000s
2023.530  34d50m12.1632747058043833s  0d00m00.0000000000000000s  -2d58m47.1681867230537932s  0d00m00.0000000000000000s
2023.533  34d50m12.0589663580147999s  0d00m00.0000000000000000s  -2d58m46.0187085592696121s  0d00m00.0000000000000000s
2023.552  34d50m12.0713177992797682s  0d00m00.0000000000000000s  -2d58m46.0955398853657528s  0d00m00.0000000000000000s
2023.626  34d50m12.0635558195743897s  0d00m00.0000000000000000s  -2d58m45.9816306530134966s  0d00m00.0000000000000000s
2025.606  34d50m12.0103239188694033s  0d00m00.0000035200149076s  -2d58m45.6468406765567636s  0d00m00.0000411585569476s
