name = R_Dor - Karl

# date  RA  RA_error  Dec Dec_error
2017.732  69d11m21.3117606840023655s  0d00m00.0050000000000004s  -62d04m39.1011530999782053s  0d00m00.0050000000000004s
2017.735  69d11m21.3130722919765958s  0d00m00.0100000000000008s  -62d04m39.1081689439863567s  0d00m00.0100000000000008s
2017.812  69d11m21.2853333759676389s  0d00m00.0060999999999984s  -62d04m39.1232149839970589s  0d00m00.0060999999999984s
2017.855  69d11m21.2709656040226491s  0d00m00.0036000000000000s  -62d04m39.1273338000053172s  0d00m00.0036000000000000s
2023.568  69d11m20.4433938480030974s  0d00m00.0029999999999999s  -62d04m39.5245113359982270s  0d00m00.0029999999999999s
2023.585  69d11m20.4407427480043680s  0d00m00.0029999999999999s  -62d04m39.5317550400028495s  0d00m00.0029999999999999s
2023.626  69d11m20.4452294999919104s  0d00m00.0075000000034620s  -62d04m39.5336578919716430s  0d00m00.0075000000034620s
2023.749  69d11m20.4037111199875199s  0d00m00.0029999999999999s  -62d04m39.5589139679862001s  0d00m00.0029999999999999s
2023.757  69d11m20.4110864280062287s  0d00m00.0029999999999999s  -62d04m39.5657871599985356s  0d00m00.0029999999999999s
2023.757  69d11m20.4026852400113512s  0d00m00.0029999999999999s  -62d04m39.5655076439913955s  0d00m00.0029999999999999s
2023.763  69d11m20.4173425320186652s  0d00m00.0029999999999999s  -62d04m39.5550619320096075s  0d00m00.0029999999999999s
2023.771  69d11m20.4126663960346377s  0d00m00.0029999999999999s  -62d04m39.5621340719776526s  0d00m00.0029999999999999s
2023.771  69d11m20.4104125680112247s  0d00m00.0029999999999999s  -62d04m39.5547244319976699s  0d00m00.0029999999999999s
2023.782  69d11m20.4115163159906388s  0d00m00.0029999999999999s  -62d04m39.5645724839971535s  0d00m00.0029999999999999s
2023.839  69d11m20.3892708600301376s  0d00m00.0029999999999999s  -62d04m39.5723656559800929s  0d00m00.0029999999999999s
2023.842  69d11m20.3871819120331566s  0d00m00.0029999999999999s  -62d04m39.5624933639913934s  0d00m00.0029999999999999s
