name = R_Dor - Manuell

# date  RA  RA_error  Dec Dec_error
2017.732  69d11m21.3124273506218742s  0d00m00.0050000000000004s  -62d04m39.1023197666390843s  0d00m00.0050000000000004s
2017.735  69d11m21.3134056253375093s  0d00m00.0100000000000008s  -62d04m39.1061689439743532s  0d00m00.0100000000000008s
2017.812  69d11m21.2839100426572259s  0d00m00.0060999999999984s  -62d04m39.1236216506717938s  0d00m00.0060999999999984s
2017.855  69d11m21.2700056040455365s  0d00m00.0036000000000000s  -62d04m39.1282938000080094s  0d00m00.0036000000000000s
2023.568  69d11m20.4429938479700013s  0d00m00.0029999999999999s  -62d04m39.5266113360185045s  0d00m00.0029999999999999s
2023.585  69d11m20.4415427479682421s  0d00m00.0029999999999999s  -62d04m39.5308550400051217s  0d00m00.0029999999999999s
2023.626  69d11m20.4434795000133818s  0d00m00.0075000000034620s  -62d04m39.5356578919836466s  0d00m00.0075000000034620s
2023.749  69d11m20.4066111199972511s  0d00m00.0029999999999999s  -62d04m39.5677139679725087s  0d00m00.0029999999999999s
2023.757  69d11m20.4128864280016842s  0d00m00.0029999999999999s  -62d04m39.5668871600128114s  0d00m00.0029999999999999s
2023.757  69d11m20.4021852399955606s  0d00m00.0029999999999999s  -62d04m39.5663076439808492s  0d00m00.0029999999999999s
2023.763  69d11m20.4177425320006023s  0d00m00.0029999999999999s  -62d04m39.5560619319900297s  0d00m00.0029999999999999s
2023.771  69d11m20.4144663960300932s  0d00m00.0029999999999999s  -62d04m39.5647340719625618s  0d00m00.0029999999999999s
2023.771  69d11m20.4069125680030083s  0d00m00.0029999999999999s  -62d04m39.5592244319863084s  0d00m00.0029999999999999s
2023.782  69d11m20.4094163159959407s  0d00m00.0029999999999999s  -62d04m39.5636724839738463s  0d00m00.0029999999999999s
2023.839  69d11m20.3881708600158618s  0d00m00.0029999999999999s  -62d04m39.5738656560018853s  0d00m00.0029999999999999s
2023.842  69d11m20.3856819119857846s  0d00m00.0029999999999999s  -62d04m39.5648933640109135s  0d00m00.0029999999999999s
