name = R_Dor - Otto

# date  RA  RA_error  Dec Dec_error
2017.732  69d11m21.3127606839827877s  0d00m00.0050000000000004s  -62d04m39.1041530999962106s  0d00m00.0050000000000004s
2017.735  69d11m21.3140722920081771s  0d00m00.0100000000000008s  -62d04m39.1061689439999327s  0d00m00.0100000000000008s
2017.812  69d11m21.2828933759703887s  0d00m00.0060999999999984s  -62d04m39.1250449840077863s  0d00m00.0060999999999984s
2017.855  69d11m21.2691656040271937s  0d00m00.0036000000000000s  -62d04m39.1312938000004351s  0d00m00.0036000000000000s
2023.568  69d11m20.4427938480046123s  0d00m00.0029999999999999s  -62d04m39.5284113360139600s  0d00m00.0029999999999999s
2023.585  69d11m20.4425427479998234s  0d00m00.0029999999999999s  -62d04m39.5302550400066366s  0d00m00.0029999999999999s
2023.626  69d11m20.4422294999994847s  0d00m00.0075000000034620s  -62d04m39.5374078919877547s  0d00m00.0075000000034620s
2023.749  69d11m20.4100111199716139s  0d00m00.0029999999999999s  -62d04m39.5748139679972155s  0d00m00.0029999999999999s
2023.757  69d11m20.4140864279986545s  0d00m00.0029999999999999s  -62d04m39.5684871599917187s  0d00m00.0029999999999999s
2023.757  69d11m20.4017852400136235s  0d00m00.0029999999999999s  -62d04m39.5682076439845787s  0d00m00.0029999999999999s
2023.763  69d11m20.4182425320163929s  0d00m00.0029999999999999s  -62d04m39.5568619320050630s  0d00m00.0029999999999999s
2023.771  69d11m20.4156663960270635s  0d00m00.0029999999999999s  -62d04m39.5663340719926282s  0d00m00.0029999999999999s
2023.771  69d11m20.4044125679752142s  0d00m00.0029999999999999s  -62d04m39.5613244319810065s  0d00m00.0029999999999999s
2023.782  69d11m20.4088163159974556s  0d00m00.0029999999999999s  -62d04m39.5639724839986684s  0d00m00.0029999999999999s
2023.839  69d11m20.3862708599865528s  0d00m00.0029999999999999s  -62d04m39.5750656559988556s  0d00m00.0029999999999999s
2023.842  69d11m20.3841819119895717s  0d00m00.0029999999999999s  -62d04m39.5666933640063689s  0d00m00.0029999999999999s
