name = R_Dor - Philip

# date  RA  RA_error  Dec Dec_error
2017.732  69d11m21.3127606839827877s  0d00m00.0050000000000004s  -62d04m39.1016530999939960s  0d00m00.0050000000000004s
2017.735  69d11m21.3130722919765958s  0d00m00.0100000000000008s  -62d04m39.1041689439879292s  0d00m00.0100000000000008s
2017.812  69d11m21.2835033759824910s  0d00m00.0060999999999984s  -62d04m39.1226049840105361s  0d00m00.0060999999999984s
2017.855  69d11m21.2698856040356077s  0d00m00.0036000000000000s  -62d04m39.1262538000182758s  0d00m00.0036000000000000s
2023.568  69d11m20.4427938480046123s  0d00m00.0029999999999999s  -62d04m39.5269113360177471s  0d00m00.0029999999999999s
2023.585  69d11m20.4413427480028531s  0d00m00.0029999999999999s  -62d04m39.5305550400058792s  0d00m00.0029999999999999s
2023.626  69d11m20.4429794999975911s  0d00m00.0075000000034620s  -62d04m39.5359078919915419s  0d00m00.0075000000034620s
2023.749  69d11m20.4061111199814604s  0d00m00.0029999999999999s  -62d04m39.5694139680108492s  0d00m00.0029999999999999s
2023.757  69d11m20.4134864280001693s  0d00m00.0029999999999999s  -62d04m39.5663871599970207s  0d00m00.0029999999999999s
2023.757  69d11m20.4020852400128661s  0d00m00.0029999999999999s  -62d04m39.5652076439921530s  0d00m00.0029999999999999s
2023.763  69d11m20.4176425320179078s  0d00m00.0029999999999999s  -62d04m39.5562619320065778s  0d00m00.0029999999999999s
2023.771  69d11m20.4150663960285783s  0d00m00.0029999999999999s  -62d04m39.5657340719941431s  0d00m00.0029999999999999s
2023.771  69d11m20.4059125679714271s  0d00m00.0029999999999999s  -62d04m39.5616244319802490s  0d00m00.0029999999999999s
2023.782  69d11m20.4079163159997279s  0d00m00.0029999999999999s  -62d04m39.5624724840024555s  0d00m00.0029999999999999s
2023.839  69d11m20.3889708600308950s  0d00m00.0029999999999999s  -62d04m39.5741656560011279s  0d00m00.0029999999999999s
2023.842  69d11m20.3856819119857846s  0d00m00.0029999999999999s  -62d04m39.5654933640093986s  0d00m00.0029999999999999s
