name = R_Dor - Karl

# Image name        RA-pixel  Dec_pixel
R_Dor_B4_2017_09_26  125.5     133.0         
R_Dor_B4_2023-10-01  251.1     272.3         
R_Dor_B4_2023-10-03  247.9     270.5         
R_Dor_B4_2023-10-06  245.3     274.4         
R_Dor_B4_2023-10-09  246.8     275.0         
R_Dor_B4_2023-10-13  245.4     272.3         
R_Dor_B6_2017-10-25  596.1     607.2         
R_Dor_B6_2017_09_25  122.4     138.3         
R_Dor_B6_2023-08-17  1435.9    1447.5         
R_Dor_B7_2017-11-09  248.4     268.0         
R_Dor_B7_2023-07-27  245.7     272.8         
R_Dor_B7_2023-08-02  246.5     271.3         
R_Dor_B7_2023-10-04  250.7     270.6         
#R_Dor_B7_2023-10-06  252.5     269.6         
R_Dor_B7_2023-10-09  246.1     272.5         
#R_Dor_B7_2023-10-12  266.9     263.2         
R_Dor_B8_2023-11-03  246.4     272.6         
R_Dor_B9_2023-11-04  246.8     276.0         
