name = R_Dor - Otto

# Image name        RA-pixel  Dec_pixel
R_Dor_B4_2017_09_26  125.4     133.2      
R_Dor_B4_2023-10-01  249     267      
R_Dor_B4_2023-10-03  246.9     269.6      
R_Dor_B4_2023-10-06  245.0     273.8    
R_Dor_B4_2023-10-09  248.8     272.8 
R_Dor_B4_2023-10-13  246.3     272.5    
R_Dor_B6_2017-10-25  596.5     606.9  
R_Dor_B6_2017_09_25  122.2     137.7
R_Dor_B6_2023-08-17  1436.3     1447.0
R_Dor_B7_2017-11-09  248.9     266.9
R_Dor_B7_2023-07-27  245.9     271.5
R_Dor_B7_2023-08-02  245.9     271.8
R_Dor_B7_2023-10-04  251.0     269.7
#R_Dor_B7_2023-10-06  252.3     268.5  
R_Dor_B7_2023-10-09  245.1     271.1
#R_Dor_B7_2023-10-12  248.0     281.7
R_Dor_B8_2023-11-03  247.4     271.7
R_Dor_B9_2023-11-04  247.8     274.6
