name = R_Dor - Philip

# Image name        RA-pixel  Dec_pixel
R_Dor_B4_2017_09_26   125.5   133.4
R_Dor_B4_2023-10-01   250.3   268.8
R_Dor_B4_2023-10-03   247.1   270.3
R_Dor_B4_2023-10-06   245.2   274.0
R_Dor_B4_2023-10-09   248.3   272.7
R_Dor_B4_2023-10-13   246.6   273.0
R_Dor_B6_2017-10-25   596.4   607.3
R_Dor_B6_2017_09_25   122.2   138.2
R_Dor_B6_2023-08-17   1436.2   1447.2
R_Dor_B7_2017-11-09   248.7   268.3
R_Dor_B7_2023-07-27   245.9   272.0
R_Dor_B7_2023-08-02   246.3   271.7
R_Dor_B7_2023-10-04   250.9   270.7
#R_Dor_B7_2023-10-06   250.9   270.7
R_Dor_B7_2023-10-09   245.3   271.3
#R_Dor_B7_2023-10-12   241.8   283.5
R_Dor_B8_2023-11-03   246.5   272.0
R_Dor_B9_2023-11-04   247.3   275.0
