name = R_Leo - Karl

# Image name        RA-pixel  Dec_pixel
RLeo_B4_2017_09_30  114.9     124.1         
RLeo_B4_2017_10_05  101.6     120.8         
RLeo_B4_2017_10_08  102.4     119.8         
RLeo_B4_2017_10_13  115.6     124.6         
RLeo_B4_2023_10_01  270.8     285.4 # Lite svajjig         
RLeo_B4_2023_10_04  276.2     281.5 # Lite svajjig         
RLeo_B4_2023_10_12  276.0     285.9 # Lite svajjig         
RLeo_B4_2023_11_03  273.5     284.8       
RLeo_B4_2025_07_25  274.4     290.8         
RLeo_B4_2025_09_04  279.8     288.5         
RLeo_B4_2025_09_11  276.1     291.9         
RLeo_B6_2017_10_03  101.3     120.9         
RLeo_B6_2017_10_11  101.2     120.5         
RLeo_B7_2017_11_16  101.0     121.0         
#RLeo_B7_2021_10_27  20.7      24.4 # Liten bild
RLeo_B7_2023_10_04  275.6     281.8         
RLeo_B7_2023_10_29  275.7     284.2         
#RLeo_B7_2025_07_15  283.0     284.6 # Wack         
RLeo_B7_2025_09_11  276.4     291.5 # Lite wack         
RLeo_B7_2025_09_17  275.2     291.8         
RLeo_B7_2025_09_27  274.0     293.6 # Lite wack         
RLeo_B8_2025_10_31  276.2     283.5        
RLeo_B8_2025_11_03  273.9     284.8         
RLeo_B8_2025_11_04  274.5     284.2         
