name = R_Leo - Otto

# Image name        RA-pixel  Dec_pixel
RLeo_B4_2017_09_30  115.1     124.0
RLeo_B4_2017_10_05  101.5     120.2
RLeo_B4_2017_10_08  102.1     119.9
RLeo_B4_2017_10_13  115.6     124.2
RLeo_B4_2023_10_01  272.4     285.8
RLeo_B4_2023_10_04  276.2     280.6
RLeo_B4_2023_10_12  276.7     284.7
RLeo_B4_2023_11_03  273.9     282.7
RLeo_B4_2025_07_25  275.3     289.6
RLeo_B4_2025_09_04  280.1     288.1
RLeo_B4_2025_09_11  276.3     291.5
RLeo_B6_2017_10_03  101.3     120.4
RLeo_B6_2017_10_11  101.5     120.9
RLeo_B7_2017_11_16  101.5     120.7
#RLeo_B7_2021_10_27  21.2     23.5
RLeo_B7_2023_10_04  275.8     281.6
RLeo_B7_2023_10_29  275.8     284.1
#RLeo_B7_2025_07_15  285.6     282.6
RLeo_B7_2025_09_11  276.8     290.4
RLeo_B7_2025_09_17  275.8     291.6
RLeo_B7_2025_09_27  275.7     291.1
RLeo_B8_2025_10_31  276.8     283.2
RLeo_B8_2025_11_03  273.7     283.9
RLeo_B8_2025_11_04  274.5     283.3
