name = R_Leo - Philip

# Image name        RA-pixel  Dec_pixel
RLeo_B4_2017_09_30   115.0    124.4   
RLeo_B4_2017_10_05   101.4    120.4
RLeo_B4_2017_10_08   102.1    120.3
RLeo_B4_2017_10_13   115.5    124.5
RLeo_B4_2023_10_01   271.8    285.5
RLeo_B4_2023_10_04   276.5    280.4
RLeo_B4_2023_10_12   276.1    284.5
RLeo_B4_2023_11_03   273.6    282.6
RLeo_B4_2025_07_25   275.4    290.0
RLeo_B4_2025_09_04   280.4    288.5
RLeo_B4_2025_09_11   276.5    291.4
RLeo_B6_2017_10_03   101.4    120.8
RLeo_B6_2017_10_11   101.6    120.5
RLeo_B7_2017_11_16   101.3    120.8
#RLeo_B7_2021_10_27   21.0     23.8
RLeo_B7_2023_10_04   275.6    281.6
RLeo_B7_2023_10_29   275.6    284.3
#RLeo_B7_2025_07_15   283.6    284.4
RLeo_B7_2025_09_11   276.6    291.0
RLeo_B7_2025_09_17   275.4    291.6
RLeo_B7_2025_09_27   274.8    292.6
RLeo_B8_2025_10_31   276.8    282.9
RLeo_B8_2025_11_03   273.8    284.2
RLeo_B9_2025_11_04   274.1    283.9
