name = W_Hya - Karl

# Image name        RA-pixel  Dec_pixel
WHya_B3_2021_09_26  127.7     127.9         
WHya_B4_2017_10_28  127.9     123.9         
WHya_B4_2023_10_02  255.0     237.1         
WHya_B4_2023_10_12  256.2     237.1         
WHya_B4_2025_07_26  255.7     236.2         
WHya_B4_2025_09_11  254.8     237.0          
WHya_B4_2025_09_17  254.7     236.8         
WHya_B6_2019_06_07  1749.6    1740.8       
WHya_B6_2023_08_17  252.1     253.1         
WHya_B6_2023_08_20  253.1     253.2         
WHya_B7_2015_11_30  256.4     247.0         
WHya_B7_2017_11_25  255.4     247.6         
WHya_B7_2025_08_05  255.8     236.2         
WHya_B7_2025_08_12  255.5     236.4         
WHya_B7_2025_09_11  255.1     237.2 
WHya_B7_2025_09_18  254.0     237.5         
