name = W_Hya - Otto

# Image name        RA-pixel  Dec_pixel
WHya_B3_2021_09_26  127.6     127.4
WHya_B4_2017_10_28  128.0     123.8
WHya_B4_2023_10_02  255.3     236.0
WHya_B4_2023_10_12  255.3     236.5
WHya_B4_2025_07_26  255.7     235.4
WHya_B4_2025_09_11  254.8     236.7
WHya_B4_2025_09_17  254.9     236.3
WHya_B6_2019_06_07  1749.5     1740.5
WHya_B6_2023_08_17  252.2     251.9
WHya_B6_2023_08_20  253.3     251.9
WHya_B7_2015_11_30  256.0     246.9
WHya_B7_2017_11_25  255.4     247.0
WHya_B7_2025_08_05  255.8     235.5
WHya_B7_2025_08_12  256.0     236.2
WHya_B7_2025_09_11  256.1     236.6
WHya_B7_2025_09_18  254.3     236.5
