name = W_Hya - Philip

# Image name        RA-pixel  Dec_pixel
WHya_B3_2021_09_26   127.5   127.7
WHya_B4_2017_10_28   128.0   123.8
WHya_B4_2023_10_02   254.6   236.7
WHya_B4_2023_10_12   254.9   237.5
WHya_B4_2025_07_26   255.3   236.0
WHya_B4_2025_09_11   255.6   236.4
WHya_B4_2025_09_17   255.3   236.5
WHya_B6_2019_06_07   1749.8   1740.6
WHya_B6_2023_08_17   252.6   252.1
WHya_B6_2023_08_20   253.6   252.4
WHya_B7_2015_11_30   255.8   247.0
WHya_B7_2017_11_25   255.5   247.2
WHya_B7_2025_08_05   255.4   235.9
WHya_B7_2025_08_12   256.2   236.0
WHya_B7_2025_09_11   255.9   236.7
WHya_B7_2025_09_18   254.5   236.5
